,Dataset,Model,African,Asian,Caucasian,Indian,STD,SER,EqOdds(Diff),DemPar(Diff),FDR,IR,GARBE
0,RFW,Balanced34,92.48333333333333,92.66666666666666,95.18333333333334,93.63333333333334,1.069949375749467,1.5605536332179941,0.06766666666666667,0.052499999999999936,0.97,3.0088038033074516,0.2887968817023816
1,RFW,Global34,93.46666666666667,93.43333333333334,94.56666666666666,94.93333333333334,0.6629060600450438,1.2960526315789476,0.039,0.027666666666666673,0.9833333333333333,4.893292340271606,0.25126950298629197
2,RFW,Balanced50,93.51666666666667,93.06666666666666,95.63333333333334,94.56666666666666,0.9924979009213771,1.587786259541988,0.05500000000000001,0.04949999999999999,0.97275,3.330015801103967,0.3092542359554979
3,RFW,Global50,93.98333333333333,94.36666666666666,95.76666666666667,95.35,0.7200501525742645,1.4212598425196845,0.043666666666666666,0.02583333333333332,0.9858333333333333,4.0966375266052335,0.2348601662887377
4,RFW0_RFW1,Balanced34,75.85,78.64999999999999,81.28333333333333,78.86666666666666,1.9248872622110176,1.2902938557435442,0.11266666666666666,0.08849999999999997,0.9529166666666666,1.936177983860261,0.1659975413362837
5,RFW0_RFW1,Global34,77.08333333333334,79.25,81.61666666666667,80.28333333333333,1.6570346673769032,1.2466001813236627,0.11133333333333334,0.08766666666666667,0.9541666666666666,2.360641830481208,0.1681692164341323
6,RFW0_RFW1,Balanced50,76.75,79.4,81.16666666666667,80.56666666666666,1.6944507058172116,1.2345132743362834,0.09299999999999997,0.08133333333333337,0.9549166666666666,2.025419853115731,0.1877629860535171
7,RFW0_RFW1,Global50,78.71666666666667,80.45,82.75,82.01666666666667,1.5500896031448552,1.2338164251207728,0.094,0.07100000000000001,0.9608333333333333,2.362493409258585,0.16582191619743128
8,RFW0_RFW4,Balanced34,72.26666666666667,75.44999999999999,76.35,74.73333333333333,1.5171702460684984,1.172656800563777,0.11366666666666667,0.09749999999999998,0.95125,1.701320908218647,0.13395575061383147
9,RFW0_RFW4,Global34,73.0,74.7,78.01666666666667,75.9,1.8266687576022094,1.2282031842304775,0.15133333333333332,0.11816666666666664,0.9409166666666666,2.0748098930210124,0.16247198244923372
10,RFW0_RFW4,Balanced50,72.21666666666667,76.61666666666666,78.06666666666666,76.18333333333334,2.1672875712896653,1.2667173252279633,0.11666666666666667,0.09783333333333333,0.94675,1.7717198960089315,0.1484208868846257
11,RFW0_RFW4,Global50,74.21666666666667,76.26666666666667,78.03333333333333,77.46666666666667,1.46232192648085,1.1737481031866464,0.09699999999999999,0.07933333333333331,0.9600833333333334,2.0393955453274133,0.14983981073935498
12,RFW_protocolo1,Balanced34,66.13333333333333,67.80000000000001,69.65,69.73333333333333,1.48475470289802,1.1189427312775333,0.08500000000000002,0.0611666666666667,0.9632499999999999,1.4293929876776645,0.08439576600429742
13,RFW_protocolo1,Global34,66.93333333333334,69.16666666666667,70.86666666666666,70.78333333333333,1.5967142912173633,1.135011441647597,0.11866666666666667,0.08133333333333331,0.95325,1.7791488706457657,0.13485583444152094
14,RFW_protocolo1,Balanced50,66.46666666666667,69.58333333333333,71.35000000000001,70.85000000000001,1.8998309500818482,1.170447934845841,0.09266666666666667,0.059,0.9620833333333333,1.4825530024024027,0.10158113276765976
15,RFW_protocolo1,Global50,68.71666666666667,71.15,72.86666666666667,72.83333333333334,1.6932258824176112,1.1529484029484032,0.11633333333333333,0.07950000000000002,0.9533333333333334,1.6729408413594713,0.12410005967274687
16,RFW_protocolo4,Balanced34,61.483333333333334,63.53333333333333,64.63333333333333,62.46666666666667,1.1761740588308598,1.0890669180018848,0.08433333333333334,0.06266666666666665,0.9663333333333334,1.3034204001261753,0.06530664133184058
17,RFW_protocolo4,Global34,62.21666666666666,63.4,65.31666666666666,64.45,1.1598835549791684,1.0893801057184047,0.09100000000000001,0.06783333333333333,0.9650833333333333,1.5672166384155244,0.10449061392290429
18,RFW_protocolo4,Balanced50,62.73333333333333,64.64999999999999,65.85,64.56666666666668,1.113615233771921,1.0912640312347486,0.07033333333333333,0.057499999999999996,0.9688333333333333,1.272841759974435,0.0616793174795461
19,RFW_protocolo4,Global50,63.55,65.45,67.81666666666666,66.18333333333334,1.5320646925708528,1.1325737959606421,0.10633333333333332,0.066,0.961,1.6214667836469296,0.10550513579164093
