,Dataset,Model,African,Asian,Caucasian,Indian,pval
0,RFW0_RFW1,Balanced34,0.2804069623107831,0.275916413509593,0.2531640657667958,0.23841129792216492,0.04980973198495729
1,RFW0_RFW1,Balanced50,0.24585339854267546,0.2724460045963534,0.28529296331624904,0.24069895134753744,0.24683329944692473
2,RFW0_RFW1,Global34,0.2854120853844696,0.2399178577002707,0.23634408221112735,0.2537782728605516,0.06972115770815641
3,RFW0_RFW1,Global50,0.24715906288050224,0.25764744978293735,0.17477828434246123,0.22888949315765472,0.03664268074006317
4,RFW0_RFW4,Balanced34,0.3280179737169125,0.30337034137010477,0.2892546894273501,0.3170972506560984,0.2728779588800384
5,RFW0_RFW4,Balanced50,0.31842651894380236,0.29713883554483156,0.27347376099269016,0.30159097805865637,0.18583464497489097
6,RFW0_RFW4,Global34,0.32190980497683314,0.2809376074471569,0.3009385653781199,0.2919304964057565,0.09934070660285639
7,RFW0_RFW4,Global50,0.28936428591602037,0.2900667855502256,0.2674391027705319,0.26461880294357026,0.52285577965225
